Kabupaten/Kota,group,unit,type,2015,2016,2017,2018,2019,2020
Muara_Enim,Buah-Buahan,Kuintal,Mangga,47643.0,9709.0,10872.0,34878.0,60336.0,12459.0
Lahat,Buah-Buahan,Kuintal,Mangga,21940.0,14744.0,8021.0,41819.0,9532.0,24752.0
Musi_Rawas,Buah-Buahan,Kuintal,Mangga,37584.0,32205.0,33526.0,53421.0,58559.0,62427.0
Musi_Banyuasin,Buah-Buahan,Kuintal,Mangga,13106.0,2289.0,6928.0,41248.0,,12027.0
Banyuasin,Buah-Buahan,Kuintal,Mangga,1493.0,2186.0,1896.0,4144.0,2895.0,1771.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Kuintal,Mangga,57249.0,19819.0,61867.0,124679.0,103932.0,90408.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Kuintal,Mangga,40861.0,3031.0,25977.0,40151.0,92796.0,49946.0
Ogan_Ilir,Buah-Buahan,Kuintal,Mangga,2006.0,87.0,873.0,3574.0,9864.0,1259.0
Empat_Lawang,Buah-Buahan,Kuintal,Mangga,9860.0,22468.0,2156.0,84278.0,6384.0,8016.0
Pali,Buah-Buahan,Kuintal,Mangga,0.0,27.0,271.0,757.0,835.0,1145.0
Musi_Rawas_Utara,Buah-Buahan,Kuintal,Mangga,6267.0,1419.0,965.0,22337.0,12098.0,6897.0
Palembang,Buah-Buahan,Kuintal,Mangga,2045.0,1068.0,1673.0,444.0,554.0,229.0
Prabumulih,Buah-Buahan,Kuintal,Mangga,926.0,406.0,155.0,251.0,213.0,592.0
Pagar_Alam,Buah-Buahan,Kuintal,Mangga,4771.0,10320.0,16126.0,15709.0,4705.0,2717.0
Lubuk_Linggau,Buah-Buahan,Kuintal,Mangga,13118.0,16634.0,2839.0,5736.0,11939.0,1033.0
Ogan_Komering_Ulu,Buah-Buahan,Kuintal,Durian,34136.0,18735.0,94050.0,104152.0,75521.0,61918.0
Ogan_Komering_Ilir,Buah-Buahan,Kuintal,Durian,18440.0,30387.0,170311.0,131740.0,31775.0,13810.0
Muara_Enim,Buah-Buahan,Kuintal,Durian,2615.0,9224.0,17561.0,24241.0,29983.0,17878.0
Lahat,Buah-Buahan,Kuintal,Durian,963.0,749.0,760.0,406.0,669.0,989.0
Musi_Rawas,Buah-Buahan,Kuintal,Durian,48610.0,24428.0,38910.0,56061.0,60406.0,54469.0
Musi_Banyuasin,Buah-Buahan,Kuintal,Durian,2986.0,3278.0,3108.0,6109.0,3834.0,6575.0
Banyuasin,Buah-Buahan,Kuintal,Durian,18498.0,16328.0,35054.0,30650.0,20980.0,26890.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Kuintal,Durian,12839.0,1851.0,5098.0,2831.0,1161.0,1496.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Kuintal,Durian,5486.0,18200.0,19152.0,40278.0,51901.0,323406.0
Ogan_Ilir,Buah-Buahan,Kuintal,Durian,5620.0,7571.0,5767.0,14470.0,10568.0,2379.0
Empat_Lawang,Buah-Buahan,Kuintal,Durian,9479.0,18778.0,10863.0,7994.0,1661.0,2952.0
Pali,Buah-Buahan,Kuintal,Durian,0.0,40.0,260.0,250.0,160.0,2575.0
Musi_Rawas_Utara,Buah-Buahan,Kuintal,Durian,1323.0,2380.0,3183.0,3673.0,10467.0,27043.0
Palembang,Buah-Buahan,Kuintal,Durian,4458.0,3035.0,2089.0,368.0,509.0,494.0
Prabumulih,Buah-Buahan,Kuintal,Durian,337.0,279.0,228.0,122.0,152.0,488.0
Pagar_Alam,Buah-Buahan,Kuintal,Durian,372.0,2993.0,5070.0,6232.0,3904.0,2606.0
Lubuk_Linggau,Buah-Buahan,Kuintal,Durian,33.0,2.0,18.0,102.0,111.0,3.0
Ogan_Komering_Ulu,Buah-Buahan,Kuintal,Jeruk,22398.0,21984.0,27529.0,24974.0,21613.0,16669.0
Ogan_Komering_Ilir,Buah-Buahan,Kuintal,Jeruk,79664.0,109180.0,143531.0,126195.0,102088.0,56535.0
Muara_Enim,Buah-Buahan,Kuintal,Jeruk,57592.0,249869.0,112892.0,100072.0,219986.0,79435.0
Lahat,Buah-Buahan,Kuintal,Jeruk,15479.0,13957.0,10556.0,8489.0,11459.0,12558.0
Musi_Rawas,Buah-Buahan,Kuintal,Jeruk,42185.0,51002.0,63157.0,57824.0,47401.0,46513.0
Musi_Banyuasin,Buah-Buahan,Kuintal,Jeruk,33308.0,29213.0,44687.0,44668.0,29776.0,45972.0
Banyuasin,Buah-Buahan,Kuintal,Jeruk,19434.0,23568.0,40141.0,29202.0,17830.0,22851.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Kuintal,Jeruk,155350.0,60499.0,148010.0,129508.0,226710.0,282849.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Kuintal,Jeruk,1118323.0,273815.0,518475.0,1902897.0,699759.0,479947.0
Ogan_Ilir,Buah-Buahan,Kuintal,Jeruk,22721.0,29226.0,39779.0,30626.0,26935.0,24131.0
Empat_Lawang,Buah-Buahan,Kuintal,Jeruk,2659.0,4624.0,5076.0,6434.0,4988.0,8896.0
Pali,Buah-Buahan,Kuintal,Jeruk,1195.0,771.0,5943.0,8108.0,2442.0,6781.0
Musi_Rawas_Utara,Buah-Buahan,Kuintal,Jeruk,5027.0,5967.0,11226.0,10663.0,12862.0,16606.0
Palembang,Buah-Buahan,Kuintal,Jeruk,13925.0,7240.0,2786.0,2417.0,2202.0,672.0
Prabumulih,Buah-Buahan,Kuintal,Jeruk,4250.0,3328.0,3282.0,4456.0,2460.0,3279.0
Pagar_Alam,Buah-Buahan,Kuintal,Jeruk,1346.0,3610.0,4191.0,3793.0,1899.0,471.0
Lubuk_Linggau,Buah-Buahan,Kuintal,Jeruk,7008.0,32124.0,1506.0,3958.0,692.0,823.0
Ogan_Komering_Ulu,Buah-Buahan,Kuintal,Pisang,22820.0,24668.0,31869.0,18724.0,21613.0,16162.0
Ogan_Komering_Ilir,Buah-Buahan,Kuintal,Pisang,9426.0,20754.0,22172.0,19915.0,102088.0,10295.0
Muara_Enim,Buah-Buahan,Kuintal,Pisang,3957.0,9120.0,5970.0,11082.0,219986.0,10530.0
Lahat,Buah-Buahan,Kuintal,Pisang,26174.0,15950.0,19037.0,25086.0,11459.0,20699.0
Musi_Rawas,Buah-Buahan,Kuintal,Pisang,9590.0,11673.0,9638.0,13200.0,47401.0,5996.0
Musi_Banyuasin,Buah-Buahan,Kuintal,Pisang,2312.0,2310.0,3566.0,4120.0,29776.0,7405.0
Banyuasin,Buah-Buahan,Kuintal,Pisang,2640.0,3021.0,3282.0,3453.0,17830.0,4344.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Kuintal,Pisang,3028.0,1967.0,4546.0,4760.0,226710.0,15225.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Kuintal,Pisang,70848.0,88935.0,69119.0,82332.0,699759.0,103227.0
Ogan_Ilir,Buah-Buahan,Kuintal,Pisang,9189.0,11586.0,13125.0,16745.0,26935.0,25016.0
Empat_Lawang,Buah-Buahan,Kuintal,Pisang,1810.0,1368.0,3558.0,2470.0,4988.0,6334.0
Pali,Buah-Buahan,Kuintal,Pisang,101.0,40.0,103.0,310.0,2442.0,6398.0
Musi_Rawas_Utara,Buah-Buahan,Kuintal,Pisang,2419.0,1259.0,2457.0,3011.0,12862.0,3559.0
Palembang,Buah-Buahan,Kuintal,Pisang,6712.0,1964.0,1001.0,1204.0,2202.0,640.0
Prabumulih,Buah-Buahan,Kuintal,Pisang,230.0,311.0,253.0,265.0,2460.0,6006.0
Pagar_Alam,Buah-Buahan,Kuintal,Pisang,1125.0,4635.0,3305.0,3038.0,1899.0,492.0
